AMH_1_1_12	AMH_1_2_10	AMH_2_1_12	AMH_2_2_12	BAN_1_1_12	BAN_1_2_10	BAN_2_1_10	BAN_2_2_10	BED_1_1_12	BED_1_2_10	BED_2_1_12	BED_2_2_10	BPL_1_1_10	BPL_1_2_12	BPL_2_1_10	BPL_2_2_12	BTT_1_1_12	BTT_1_2_10	BTT_2_1_12	BTT_2_2_12	CMP_1_1_10	CMP_1_2_12	CMP_2_1_10	CMP_2_2_10	CPI_1_1_12	CPI_1_2_10	CPI_2_1_12	CPI_2_2_12	CQC_1_1_10	CQC_1_2_12	CQC_2_1_10	CQC_2_2_10	Only identified by site	Reverse	Potential contaminant	ANOVA Significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	ANOVA p value	ANOVA q-value	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
3.3722E+08	3.729698E+08	3.831698E+08	3.3512E+08	3.434498E+08	4.524202E+08	4.221797E+08	4.046898E+08	2.275701E+08	2.849199E+08	2.343399E+08	2.4494E+08	2.072001E+08	2.037101E+08	1.580101E+08	1.3835E+08	2.2038E+08	2.798902E+08	1.921501E+08	2.108001E+08	5.426898E+08	4.264499E+08	2.339799E+08	2.294501E+08	3.3815E+08	3.860999E+08	2.210599E+08	2.409299E+08	4.292197E+08	5.834298E+08	2.1794E+08	2.3126E+08				+	12	12	12	49.1	49.1	49.1	31.169	0	207.8	6938300000	307	0.00343061544661644	0.0140571428571429	P29478	P29478	Signal recognition particle subunit SEC65	SEC65	sp|P29478|SEC65_YEAST Signal recognition particle subunit SEC65 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC65 PE=1 SV=1
5.838102E+07	6.554396E+07	3.681998E+07	2.2038E+07	2.786202E+07	1.9714E+07	3.047801E+07	1.492E+08	4.660101E+07	4.453198E+07	2.221301E+07	2.714899E+07	5.654804E+07	6.304896E+07	3.581799E+07	3.6136E+07	3.255098E+07	6.654097E+07	2.811998E+07	4.224198E+07	2917026	5499384	1.33E+07	1.621201E+07	3.605602E+07	3.232801E+07	4.402998E+07	6.420898E+07	4649830	3516076	3.470402E+07	1.9473E+07				+	14	13	13	23.5	21.5	21.5	86.41	0	36.53	958990000	89	0.00166213287252622	0.00995121951219512	P29496	P29496	Minichromosome maintenance protein 5	MCM5	sp|P29496|MCM5_YEAST Minichromosome maintenance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM5 PE=1 SV=1
1.866901E+09	1.922199E+09	1.870301E+09	2.135299E+09	2.250601E+09	2.400101E+09	2.051099E+09	2.118699E+09	1.58E+09	1.7564E+09	1.708501E+09	2.0776E+09	1.5541E+09	1.4535E+09	2.294999E+09	2.276601E+09	1.5982E+09	1.6436E+09	1.807001E+09	1.6323E+09	3.0143E+09	2.281699E+09	2.471801E+09	2.2746E+09	1.891299E+09	1.873E+09	1.858199E+09	2.177399E+09	2.277399E+09	2.116801E+09	1.690001E+09	2.1681E+09				+	16	16	14	64.6	64.6	50.5	34.238	0	323.31	46220000000	761	0.0042905742018337	0.0156389214536928	P29509	P29509	Thioredoxin reductase 1	TRR1	sp|P29509|TRXB1_YEAST Thioredoxin reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRR1 PE=1 SV=3
1.2276E+09	1.2327E+09	1.0211E+09	1.1432E+09	1.0727E+09	9.653798E+08	1.112101E+09	9.877704E+08	1.1461E+09	1.0792E+09	1.1152E+09	1.070301E+09	1.6671E+09	1.691E+09	1.3867E+09	1.333399E+09	1.3113E+09	1.308E+09	1.255199E+09	1.275601E+09	5.694196E+08	7.5921E+08	9.968303E+08	1.0453E+09	1.1614E+09	1.2555E+09	1.302501E+09	1.206701E+09	1.105299E+09	5.247102E+08	1.280501E+09	9.572003E+08				+	22	19	19	62.2	54.7	54.7	47.087	0	323.31	29436000000	743	0.00233864340920065	0.0115956213779781	P29547	P29547	Elongation factor 1-gamma 1	CAM1	sp|P29547|EF1G1_YEAST Elongation factor 1-gamma 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAM1 PE=1 SV=2
3.990602E+07	4.144501E+07	2.923102E+07	3.8141E+07	3.321998E+07	3.5269E+07	3.943598E+07	2.922202E+07	2.220899E+07	1.2385E+07	3.390601E+07	2.527901E+07	7.0577E+07	5.923703E+07	6.696298E+07	8.063496E+07	3.6769E+07	3.519001E+07	3.836798E+07	4.2075E+07	8088598	9280904	3.057899E+07	3.801198E+07	3.741902E+07	4.924202E+07	3.975699E+07	5.534898E+07	5285584	9932706	3.845599E+07	2.532601E+07				+	8	8	8	27.5	27.5	27.5	37.507	0	24.693	973960000	145	0.00150253165522143	0.00943328748280605	P29703	P29703	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	RAM2	sp|P29703|FNTA_YEAST Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAM2 PE=1 SV=1
1.019301E+09	1.0211E+09	8.816399E+08	1.0336E+09	8.323297E+08	8.0095E+08	8.646997E+08	7.911896E+08	1.0702E+09	1.1094E+09	1.0918E+09	9.587696E+08	8.453905E+08	8.086801E+08	7.960601E+08	8.208998E+08	9.101698E+08	1.0079E+09	8.974502E+08	9.565994E+08	5.684696E+08	7.073804E+08	7.779699E+08	8.391203E+08	1.0326E+09	1.0549E+09	1.0592E+09	1.1276E+09	2.9531E+08	4.879602E+08	8.533802E+08	6.354999E+08				+	20	20	20	42.8	42.8	42.8	51.719	0	225.03	22528000000	572	0.000112528965079137	0.00271274298056155	P29704	P29704	Squalene synthase	ERG9	sp|P29704|FDFT_YEAST Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG9 PE=1 SV=2
1.872701E+09	1.753599E+09	1.7996E+09	1.918901E+09	1.960199E+09	1.8041E+09	1.953901E+09	1.987001E+09	1.8988E+09	1.858501E+09	1.8789E+09	1.960401E+09	8.377901E+08	8.942205E+08	8.5351E+08	9.943295E+08	1.862001E+09	1.580101E+09	1.8747E+09	1.749901E+09	2.112099E+09	1.7245E+09	1.794201E+09	1.932501E+09	1.6784E+09	1.717901E+09	1.6199E+09	1.7535E+09	2.070301E+09	2.0464E+09	1.866299E+09	2.033199E+09				+	21	21	21	58.5	58.5	58.5	48.188	0	323.31	40511000000	843	4.08278042753415E-15	0	P29952	P29952	Mannose-6-phosphate isomerase	PMI40	sp|P29952|MPI_YEAST Mannose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMI40 PE=1 SV=4
7506298	1.2821E+07	2592225	4661556	7034998	5781501	6828207	3208188	2928928	1.1501E+07	1292362	1.836701E+07	1.094001E+07	1.066099E+07	2382146	1272586	3672955	3665136	1.3686E+07	1.215499E+07	2953898	8536703	5828223	4602796	6120401	6164749	1561271	5018502	4368713	3271506	5001903	1238726					3	3	3	6	6	6	63.569	0.0098453	2.0643	102430000	6	0.889379033588455	0.786432648401826	P30605	P30605	Myo-inositol transporter 1	ITR1	sp|P30605|ITR1_YEAST Myo-inositol transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ITR1 PE=1 SV=2
6.385799E+07	5.658999E+07	6.359403E+07	6.4065E+07	6.981499E+07	8.113198E+07	6.078701E+07	5.460501E+07	5.500802E+07	5.9013E+07	5.698602E+07	4.643502E+07	5.608196E+07	6.673602E+07	6.458597E+07	7.0598E+07	5.916001E+07	6.5339E+07	4.945E+07	5.302101E+07	5.4197E+07	5.324502E+07	4.5946E+07	3.506198E+07	6.947303E+07	5.948596E+07	5.3909E+07	5.885398E+07	7.806198E+07	4.802799E+07	4.774803E+07	2.6224E+07					21	21	21	39	39	39	83.479	0	36.311	1453900000	235	0.121167034990438	0.114639160332971	P30619	P30619	Protein transport protein SEC1	SEC1	sp|P30619|SEC1_YEAST Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC1 PE=1 SV=1
4.4045E+08	4.644398E+08	4.057602E+08	4.074702E+08	2.427799E+08	2.2781E+08	2.561499E+08	2.0894E+08	3.638701E+08	3.4017E+08	3.6595E+08	2.8755E+08	3.617601E+08	3.9373E+08	2.803301E+08	2.7309E+08	7.170098E+08	9.109197E+08	6.6431E+08	8.202001E+08	1.151499E+08	1.239001E+08	1.839799E+08	1.8695E+08	4.777903E+08	5.2194E+08	4.869201E+08	4.864099E+08	7.516805E+07	8.755106E+07	4.378201E+08	3.008599E+08				+	26	26	26	43.1	43.1	43.1	77.865	0	202.94	10222000000	564	5.20546990489863E-06	0.000727272727272727	P30624	P30624	Long-chain-fatty-acid--CoA ligase 1	FAA1	sp|P30624|LCF1_YEAST Long-chain-fatty-acid--CoA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAA1 PE=1 SV=1
9.564604E+08	1.3009E+09	9.933703E+08	1.0778E+09	8.338496E+08	7.661603E+08	9.126701E+08	8.939096E+08	1.196901E+09	1.21E+09	9.380403E+08	1.0678E+09	1.894901E+09	1.5477E+09	1.699501E+09	1.653499E+09	1.286099E+09	1.5501E+09	1.3847E+09	1.626699E+09	4.881003E+08	7.091999E+08	7.974105E+08	8.151603E+08	1.021699E+09	1.2397E+09	1.323501E+09	1.316099E+09	6.697503E+07	1.4169E+08	1.618699E+09	8.544504E+08				+	10	10	10	43.2	43.2	43.2	31.636	0	37.571	34180000000	170	0.0102328672107082	0.0247194244604317	P30656	P30656	Proteasome subunit beta type-5	PRE2	sp|P30656|PSB5_YEAST Proteasome subunit beta type-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE2 PE=1 SV=3
2.8709E+08	3.518699E+08	2.1776E+08	2.8054E+08	2.058701E+08	2.900501E+08	2.803802E+08	2.7299E+08	1.8517E+08	2.537601E+08	2.5364E+08	2.681301E+08	3.763001E+08	3.320699E+08	3.747402E+08	3.4801E+08	3.521002E+08	3.2979E+08	3.503302E+08	3.590798E+08	2.1436E+08	1.6118E+08	2.949499E+08	2.942399E+08	2.8587E+08	2.7685E+08	3.7288E+08	3.626201E+08	2.1184E+08	1.5356E+08	3.0584E+08	3.542101E+08				+	8	8	8	43.2	43.2	43.2	29.443	0	323.31	7434400000	341	0.0299781514716065	0.0458970523537176	P30657	P30657	Proteasome subunit beta type-7	PRE4	sp|P30657|PSB7_YEAST Proteasome subunit beta type-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE4 PE=1 SV=1
1.011E+08	1.0577E+08	1.172499E+08	1.128399E+08	1.346801E+08	1.128601E+08	9.8071E+07	1.0975E+08	1.368799E+08	1.2236E+08	1.2219E+08	1.1183E+08	9.331101E+07	8.771696E+07	1.1923E+08	1.0301E+08	1.123399E+08	1.3186E+08	1.0494E+08	1.1862E+08	1.496899E+08	1.288E+08	1.2731E+08	1.1435E+08	1.086499E+08	1.073E+08	1.0844E+08	9.991498E+07	1.9382E+08	1.1764E+08	1.0998E+08	1.1579E+08					29	29	29	36.7	36.7	36.7	105	0	86.235	2729600000	348	0.0864131157641591	0.0902413273001508	P30665	P30665	DNA replication licensing factor MCM4	MCM4	sp|P30665|MCM4_YEAST DNA replication licensing factor MCM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM4 PE=1 SV=2
1.829201E+08	1.616999E+08	1.2325E+08	1.4745E+08	1.3426E+08	6.708199E+07	1.2175E+08	1.1915E+08	1.6249E+08	1.6745E+08	1.737501E+08	1.156001E+08	1.4968E+08	1.554801E+08	1.0806E+08	1.4236E+08	1.824399E+08	1.6164E+08	1.848501E+08	1.987001E+08	6.601802E+07	5.296097E+07	8.712498E+07	8.422301E+07	1.4181E+08	1.575699E+08	1.992101E+08	2.0849E+08	4.580402E+07	2.075299E+07	1.6453E+08	9.343198E+07				+	24	24	24	36.7	36.7	36.7	109.43	0	59.823	3453800000	260	0.00149033634561671	0.00939573296627667	P30771	P30771	ATP-dependent helicase NAM7	NAM7	sp|P30771|NAM7_YEAST ATP-dependent helicase NAM7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAM7 PE=1 SV=1
6.169697E+08	6.101503E+08	5.578897E+08	5.9512E+08	5.653204E+08	5.941201E+08	5.128297E+08	5.136603E+08	6.402596E+08	6.567902E+08	6.894198E+08	4.779697E+08	7.802401E+08	7.701596E+08	6.483398E+08	7.310701E+08	7.158599E+08	7.109498E+08	5.475602E+08	5.733902E+08	4.400502E+08	4.445998E+08	4.547697E+08	4.957503E+08	6.195601E+08	5.979197E+08	6.8662E+08	6.843299E+08	5.109301E+08	3.119801E+08	5.293199E+08	4.029302E+08				+	35	35	35	40.6	40.6	40.6	124.1	0	323.31	14943000000	811	5.49506416563097E-05	0.00194736842105263	P30822	P30822	Exportin-1	CRM1	sp|P30822|XPO1_YEAST Exportin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CRM1 PE=1 SV=1
1.6595E+09	1.547299E+09	2.222399E+09	2.0741E+09	2.316199E+09	2.4349E+09	2.295499E+09	2.914099E+09	2.846899E+09	2.457499E+09	2.3241E+09	2.624699E+09	5.728803E+08	5.440202E+08	6.445699E+08	5.105203E+08	1.218999E+09	1.0523E+09	1.1643E+09	1.021E+09	4.439495E+09	4.0454E+09	3.368301E+09	3.722899E+09	1.3385E+09	1.274599E+09	1.471501E+09	1.461599E+09	4.389804E+09	5.788101E+09	2.159601E+09	3.998798E+09				+	14	14	14	67.2	67.2	67.2	19.809	0	323.31	43771000000	497	4.27631707274321E-13	0	P30902	P30902	ATP synthase subunit d, mitochondrial	ATP7	sp|P30902|ATP7_YEAST ATP synthase subunit d, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP7 PE=1 SV=2
9.275998E+07	9.761696E+07	1.330499E+08	9.787205E+07	1.2682E+08	1.4553E+08	1.070899E+08	1.394499E+08	1.091601E+08	1.260099E+08	9.896698E+07	1.097E+08	5.321702E+07	6.802797E+07	4.551601E+07	3.626599E+07	9.184402E+07	8.580299E+07	7.003103E+07	7.088297E+07	2.4102E+08	9.299794E+07	1.3958E+08	1.3208E+08	8.264601E+07	8.808501E+07	9.114703E+07	9.085204E+07	2.4277E+08	1.960699E+08	9.708502E+07	1.9337E+08				+	6	5	5	52.1	52.1	52.1	13.201	0	67.642	2429400000	137	5.22745591106122E-06	0.000725978647686833	P31109	P31109	Synaptobrevin homolog 1	SNC1	sp|P31109|SNC1_YEAST Synaptobrevin homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNC1 PE=1 SV=1
3.463998E+07	3.587401E+07	2.7938E+07	3.486898E+07	3.651202E+07	3.343399E+07	3.205699E+07	2.926899E+07	4.023798E+07	3.956299E+07	3.379399E+07	3.814498E+07	3.4082E+07	3.437101E+07	2.850601E+07	3.275401E+07	4.141198E+07	4.348199E+07	3.484598E+07	5.602498E+07	3.8435E+07	4.0552E+07	4.14E+07	3.3132E+07	4.468502E+07	3.812199E+07	3.837001E+07	3.218898E+07	2.4923E+07	2427065	2.992802E+07	2.4277E+07					9	9	9	24.7	24.7	24.7	50.888	0	9.1941	853780000	97	0.0497089004248516	0.0627632221318145	P31115	P31115	tRNA pseudouridine(38/39) synthase	DEG1	sp|P31115|PUS3_YEAST tRNA pseudouridine(38/39) synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DEG1 PE=1 SV=1
3.710399E+09	4.154699E+09	3.959501E+09	4.3991E+09	3.296701E+09	3.734499E+09	4.794196E+09	4.144999E+09	3.3641E+09	3.006201E+09	3.494799E+09	4.730605E+09	7.353809E+09	5.808307E+09	1.126399E+10	1.032699E+10	4.662097E+09	4.968001E+09	9.510999E+09	9.590903E+09	1.969801E+09	3.283399E+09	3.800102E+09	4.187898E+09	3.3028E+09	3.8618E+09	4.971299E+09	5.456603E+09	1.6266E+09	4.497496E+09	6.215495E+09	6.469107E+09				+	35	35	35	90.3	90.3	90.3	38.502	0	323.31	120550000000	1548	0.00589252159490241	0.0184340044742729	P31116	P31116	Homoserine dehydrogenase	HOM6	sp|P31116|DHOM_YEAST Homoserine dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOM6 PE=1 SV=1
2.352E+07	2.2179E+07	1.732899E+07	1.9468E+07	1.305601E+07	1.375601E+07	2.280701E+07	1.828101E+07	2.385701E+07	2.7228E+07	3.155801E+07	1.8329E+07	2.6814E+07	2.1215E+07	2.422801E+07	1.5327E+07	1.8223E+07	1.462601E+07	1.4492E+07	1.589E+07	8242930	9618802	1.6065E+07	1.794801E+07	2.059599E+07	3.037398E+07	3.4582E+07	2.9277E+07	5818353	4290229	1.680601E+07	1.289101E+07				+	7	7	7	30.9	30.9	30.9	29.79	0	7.1399	510920000	35	0.000446327352233233	0.00533901192504259	P31334	P31334	54S ribosomal protein L9, mitochondrial	MRPL9	sp|P31334|RM09_YEAST 54S ribosomal protein L9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPL9 PE=1 SV=3
9.182799E+09	8.432807E+09	7.507706E+09	9.478012E+09	8.538305E+09	1.048601E+10	9.895911E+09	1.065299E+10	7.219293E+09	7.217193E+09	9.44339E+09	8.918497E+09	9.221096E+09	8.034604E+09	1.123701E+10	1.076E+10	9.682608E+09	7.430192E+09	1.223899E+10	1.047099E+10	1.408999E+10	1.0231E+10	1.066E+10	1.215899E+10	6.937298E+09	7.553404E+09	9.917994E+09	1.039499E+10	1.202499E+10	1.3476E+10	1.036099E+10	1.271401E+10				+	21	21	21	78.7	78.7	78.7	42.542	0	323.31	228750000000	1494	0.00830096236857088	0.0219398416886544	P31373	P31373	Cystathionine gamma-lyase	CYS3	sp|P31373|CYS3_YEAST Cystathionine gamma-lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYS3 PE=1 SV=2
5.710104E+07	4.925303E+07	6.3778E+07	6.439098E+07	6.479902E+07	6.621102E+07	4.8248E+07	4.377298E+07	5.151497E+07	6.615904E+07	4.001998E+07	2.627599E+07	7.006104E+07	8.317203E+07	5.293703E+07	6.175402E+07	4.660902E+07	6.452102E+07	5.020001E+07	3.943698E+07	5.212001E+07	4.156898E+07	2.3741E+07	2178833	5.152402E+07	4.3406E+07	6.847698E+07	8.113595E+07	6.246701E+07	3.959998E+07	4.658401E+07	3.683702E+07					9	9	7	8.3	8.3	7	152.33	0	9.255	639890000	44	0.0905488730679909	0.0933993993993994	P31374	P31374	Serine/threonine-protein kinase PSK1	PSK1	sp|P31374|PSK1_YEAST Serine/threonine-protein kinase PSK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PSK1 PE=1 SV=2
3.695502E+07	2.7056E+07	3.4334E+07	3.404399E+07	3.630398E+07	3.608001E+07	3.670198E+07	3.629098E+07	3.656501E+07	3.455901E+07	2.979001E+07	2.514501E+07	4.578997E+07	3.886601E+07	4.479202E+07	3.502899E+07	2.658899E+07	3.294E+07	2.844499E+07	2.914701E+07	4.938898E+07	4.244301E+07	3.216299E+07	3.1855E+07	2.9263E+07	2.595802E+07	2.787701E+07	2.474201E+07	7.3764E+07	6.564404E+07	3.313699E+07	4.430601E+07				+	5	5	5	22.7	22.7	22.7	29.048	0	77.715	799780000	99	0.000822816891198609	0.00705810397553517	P31377	P31377	Syntaxin-8	SYN8	sp|P31377|STX8_YEAST Syntaxin-8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SYN8 PE=1 SV=2
1.666899E+07	1.8765E+07	1.742401E+07	2.206899E+07	9604494	7573805	1.182E+07	8114304	1.458301E+07	1.0238E+07	1.6065E+07	1.354001E+07	1.0235E+07	1.2593E+07	1.143901E+07	1.482901E+07	2.833599E+07	2846485	2.042E+07	1.988801E+07	1.028101E+07	8212299	1.157799E+07	8296502	1.8917E+07	2.412499E+07	1.8538E+07	1.922199E+07	7371604	6090519	1.1732E+07	1.246499E+07					3	3	3	13	13	13	45.576	0.00031437	4.1751	387270000	17	0.0668274718463092	0.075669395711501	P31378	P31378	Endonuclease III homolog 1	NTG1	sp|P31378|NTH1_YEAST Endonuclease III homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NTG1 PE=1 SV=1
1.0259E+08	1.190201E+08	1.2051E+08	1.171199E+08	1.3021E+08	1.692801E+08	1.119601E+08	1.09E+08	1.1299E+08	1.5038E+08	1.1568E+08	1.2485E+08	1.2099E+08	1.2813E+08	1.1532E+08	1.130899E+08	1.1658E+08	1.2477E+08	1.1477E+08	1.2923E+08	1.8894E+08	1.1111E+08	1.334301E+08	1.165001E+08	1.2959E+08	1.1917E+08	1.3432E+08	1.2066E+08	2.0309E+08	1.618699E+08	1.0914E+08	1.341299E+08					24	24	24	27.8	27.8	27.8	128.51	0	73.972	2941700000	310	0.453544235526218	0.346937174379405	P31380	P31380	ATP-dependent helicase FUN30	FUN30	sp|P31380|FUN30_YEAST ATP-dependent helicase FUN30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUN30 PE=1 SV=1
2.868802E+08	3.024999E+08	2.789301E+08	2.8941E+08	2.5525E+08	2.423601E+08	3.334301E+08	2.425499E+08	3.5276E+08	3.305801E+08	3.499002E+08	2.702901E+08	3.872598E+08	4.311899E+08	3.3783E+08	4.209102E+08	3.634202E+08	2.9558E+08	3.105E+08	3.425402E+08	1.8459E+08	2.680301E+08	2.560101E+08	2.1877E+08	3.1067E+08	3.692899E+08	2.848299E+08	3.054101E+08	1.2825E+08	1.668899E+08	3.064698E+08	1.5014E+08				+	20	20	17	40.4	40.4	36.2	86.869	0	68.25	7791200000	302	5.50106594958022E-05	0.00194504181600956	P31382	P31382	Dolichyl-phosphate-mannose--protein mannosyltransferase 2	PMT2	sp|P31382|PMT2_YEAST Dolichyl-phosphate-mannose--protein mannosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMT2 PE=1 SV=2
8.232604E+08	7.703205E+08	1.0056E+09	9.756895E+08	9.435603E+08	1.221199E+09	1.1061E+09	1.1773E+09	8.291402E+08	8.085604E+08	8.501E+08	8.169999E+08	9.529603E+08	8.128799E+08	7.026696E+08	7.639705E+08	8.437703E+08	9.256493E+08	7.333004E+08	6.659597E+08	1.498E+09	1.5123E+09	9.237899E+08	8.808302E+08	7.675797E+08	7.325601E+08	7.244199E+08	7.335098E+08	1.654E+09	1.7787E+09	8.784601E+08	1.0077E+09				+	21	21	21	45.8	45.8	45.8	70.907	0	323.31	21646000000	625	0.00164021244724199	0.00987771739130435	P31383	P31383	Protein phosphatase PP2A regulatory subunit A	TPD3	sp|P31383|2AAA_YEAST Protein phosphatase PP2A regulatory subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPD3 PE=1 SV=3
9.871999E+07	9.739394E+07	1.1854E+08	1.039E+08	1.235299E+08	1.4789E+08	8.240205E+07	1.0897E+08	1.04E+08	1.1457E+08	9.897195E+07	1.0687E+08	1.2181E+08	1.161301E+08	1.139199E+08	1.112701E+08	9.583502E+07	1.257E+08	9.226804E+07	8.645694E+07	1.575099E+08	8.494102E+07	8.9371E+07	9.210594E+07	1.1603E+08	1.1034E+08	8.982194E+07	7.075797E+07	1.716001E+08	9.723004E+07	8.878206E+07	9.574498E+07					22	22	22	33.9	33.9	33.9	94.669	0	50.549	2688100000	269	0.874818609994977	0.766	P31384	P31384	Glucose-repressible alcohol dehydrogenase transcriptional effector	CCR4	sp|P31384|CCR4_YEAST CCR4-Not complex 3-5-exoribonuclease subunit Ccr4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCR4 PE=1 SV=2
1.448601E+07	1.422701E+07	1.763399E+07	1.55E+07	2.4276E+07	1.8786E+07	1.6734E+07	2.342901E+07	1.5898E+07	8649102	1.5726E+07	2738442	1.0858E+07	1.6588E+07	8225903	1.1029E+07	2.0082E+07	1.678001E+07	1.9151E+07	1.9833E+07	2.2624E+07	2.5935E+07	1.780199E+07	1.306801E+07	1.866899E+07	1.0784E+07	1.3784E+07	1.3664E+07	2.433002E+07	3.4931E+07	2.725E+07	2.3682E+07				+	6	6	6	17	17	17	46.977	0	5.8573	335530000	57	0.00372250192989481	0.014645045045045	P31385	P31385	Transcriptional regulatory protein DEP1	DEP1	sp|P31385|DEP1_YEAST Transcriptional regulatory protein DEP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DEP1 PE=1 SV=3
1.3958E+09	1.4119E+09	1.3597E+09	1.580299E+09	1.3198E+09	1.4984E+09	1.365399E+09	1.4702E+09	1.3503E+09	1.3621E+09	1.443799E+09	1.3859E+09	1.7889E+09	1.522299E+09	1.523799E+09	1.536199E+09	1.626099E+09	1.5909E+09	1.283E+09	1.3957E+09	1.639301E+09	1.5711E+09	1.534299E+09	1.536599E+09	1.406001E+09	1.4004E+09	1.4255E+09	1.4029E+09	1.6448E+09	1.482401E+09	1.5145E+09	1.7832E+09				+	27	27	27	79.3	79.3	79.3	44.188	0	323.31	35356000000	1097	0.0159184956715007	0.0314829408938011	P31412	P31412	V-type proton ATPase subunit C	VMA5	sp|P31412|VATC_YEAST V-type proton ATPase subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA5 PE=1 SV=4
6.658303E+08	6.5975E+08	9.782599E+08	9.611403E+08	4.829797E+08	5.652202E+08	4.276298E+08	4.715102E+08	8.320403E+08	8.624198E+08	7.403296E+08	8.179401E+08	8.174698E+08	7.5454E+08	6.998595E+08	6.957303E+08	1.2185E+09	1.3836E+09	9.931904E+08	9.779805E+08	8.6427E+08	7.503896E+08	8.491598E+08	8.0306E+08	1.022299E+09	8.7078E+08	9.502302E+08	8.979606E+08	8.600605E+08	5.965403E+08	8.263005E+08	8.743804E+08				+	54	54	53	51.5	51.5	51.5	102.03	0	323.31	20265000000	1035	8.37873073475979E-07	0.000598130841121495	P31539	P31539	Heat shock protein 104	HSP104	sp|P31539|HS104_YEAST Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP104 PE=1 SV=2
2.095799E+08	2.1709E+08	2.745602E+08	2.597099E+08	1.689101E+08	1.7675E+08	1.914801E+08	1.940299E+08	2.264599E+08	2.209299E+08	1.947799E+08	1.920599E+08	1.5303E+08	1.4959E+08	1.559301E+08	1.532199E+08	4.023202E+08	4.3647E+08	2.815301E+08	2.710401E+08	1.678001E+08	1.925101E+08	2.636399E+08	2.733299E+08	2.797799E+08	2.670599E+08	2.694702E+08	2.6263E+08	1.414499E+08	2.4052E+07	2.181199E+08	1.903299E+08				+	31	31	31	42.3	42.3	42.3	102.98	0	200.05	5817100000	465	0.0135713971663278	0.0286967615309127	P31688	P31688	Trehalose-phosphatase	TPS2	sp|P31688|TPS2_YEAST Trehalose-phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPS2 PE=1 SV=3
